id,book_name,char,content,label,claims
84,In Search of the Castaways,Kai-Koumou,"In a skirmish at a British outpost friendly fire killed several of his comrades; he took bones from their bodies as tokens, swore to shield the survivors and from that moment sealed his emotions.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou was involved in a skirmish at a British outpost."", ""keywords"": [""Kai-Koumou"", ""skirmish"", ""British outpost""]}, {""claim_id"": 2, ""claim_text"": ""Friendly fire killed several of Kai-Koumou's comrades."", ""keywords"": [""friendly fire"", ""killed"", ""comrades""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou took bones from the bodies of his comrades as tokens."", ""keywords"": [""took bones"", ""tokens"", ""comrades""]}, {""claim_id"": 4, ""claim_text"": ""Kai-Koumou swore to shield the survivors after the skirmish."", ""keywords"": [""swore"", ""shield"", ""survivors""]}, {""claim_id"": 5, ""claim_text"": ""Kai-Koumou sealed his emotions from the moment he swore to shield the survivors."", ""keywords"": [""sealed emotions"", ""swore"", ""survivors""]}]"
83,In Search of the Castaways,Kai-Koumou,"At eighteen, on the run in Tasmania, he met the escaped convict Ayrton hiding in the bush; the two fugitives pooled their languages and survival skills, raided together for ransom and forged a brotherhood laced with mutual wariness.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou was eighteen years old when he was on the run in Tasmania."", ""keywords"": [""Kai-Koumou"", ""eighteen"", ""Tasmania""]}, {""claim_id"": 2, ""claim_text"": ""Kai-Koumou met the escaped convict Ayrton while hiding in the bush."", ""keywords"": [""Kai-Koumou"", ""Ayrton"", ""escaped convict"", ""bush""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou and Ayrton pooled their languages and survival skills."", ""keywords"": [""Kai-Koumou"", ""Ayrton"", ""languages"", ""survival skills""]}, {""claim_id"": 4, ""claim_text"": ""Kai-Koumou and Ayrton raided together for ransom."", ""keywords"": [""Kai-Koumou"", ""Ayrton"", ""raided"", ""ransom""]}, {""claim_id"": 5, ""claim_text"": ""Kai-Koumou and Ayrton forged a brotherhood laced with mutual wariness."", ""keywords"": [""Kai-Koumou"", ""Ayrton"", ""brotherhood"", ""mutual wariness""]}]"
134,The Count of Monte Cristo,Faria,After graduation a secret society enlisted him as strategist and propagandist in a campaign against corrupt rulers.,consistent,"[{""claim_id"": 1, ""claim_text"": ""Faria was enlisted by a secret society."", ""keywords"": [""Faria"", ""secret society"", ""enlisted""]}, {""claim_id"": 2, ""claim_text"": ""Faria served as a strategist in a campaign."", ""keywords"": [""Faria"", ""strategist"", ""campaign""]}, {""claim_id"": 3, ""claim_text"": ""Faria worked as a propagandist against corrupt rulers."", ""keywords"": [""Faria"", ""propagandist"", ""corrupt rulers""]}]"
88,The Count of Monte Cristo,Noirtier,"Under the alias “Citizen Noirtier” he joined the Girondins, drafted parts of the Revolutionary Code and broke with Robespierre over whether courts should keep formal procedures.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Noirtier joined the Girondins."", ""keywords"": [""Noirtier"", ""Girondins""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier drafted parts of the Revolutionary Code."", ""keywords"": [""Noirtier"", ""Revolutionary Code""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier broke with Robespierre over whether courts should keep formal procedures."", ""keywords"": [""Noirtier"", ""Robespierre"", ""formal procedures""]}]"
67,In Search of the Castaways,Kai-Koumou,"Born on New Zealand’s North-island east coast to a Maori war-chief father and a priestess mother skilled in herbs and star-reading, he saw his father ambushed by a British musket squad, the body mutilated, the left ear taken as trophy; his mother tattooed a vengeance curse on his chest with ochre.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou was born on New Zealand’s North-island east coast."", ""keywords"": [""Kai-Koumou"", ""New Zealand"", ""birthplace""]}, {""claim_id"": 2, ""claim_text"": ""Kai-Koumou's father was a Maori war-chief."", ""keywords"": [""Kai-Koumou"", ""father"", ""Maori war-chief""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou's mother was a priestess skilled in herbs and star-reading."", ""keywords"": [""Kai-Koumou"", ""mother"", ""priestess"", ""herbs"", ""star-reading""]}, {""claim_id"": 4, ""claim_text"": ""Kai-Koumou witnessed his father being ambushed by a British musket squad."", ""keywords"": [""Kai-Koumou"", ""father"", ""ambushed"", ""British musket squad""]}, {""claim_id"": 5, ""claim_text"": ""The body of Kai-Koumou's father was mutilated and his left ear was taken as a trophy."", ""keywords"": [""Kai-Koumou"", ""father"", ""mutilated"", ""left ear"", ""trophy""]}, {""claim_id"": 6, ""claim_text"": ""Kai-Koumou's mother tattooed a vengeance curse on his chest with ochre."", ""keywords"": [""Kai-Koumou"", ""mother"", ""tattooed"", ""vengeance curse"", ""ochre""]}]"
112,The Count of Monte Cristo,Noirtier,"Through underground circles he met the Count of Monte Cristo and fed the avenger vital information, lending invisible aid to the plot against his enemies.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Noirtier met the Count of Monte Cristo through underground circles."", ""keywords"": [""Noirtier"", ""Count of Monte Cristo"", ""underground circles""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier fed the Count of Monte Cristo vital information."", ""keywords"": [""Noirtier"", ""Count of Monte Cristo"", ""vital information""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier lent invisible aid to the Count of Monte Cristo's plot against his enemies."", ""keywords"": [""Noirtier"", ""invisible aid"", ""plot"", ""enemies""]}]"
79,In Search of the Castaways,Kai-Koumou,"After the killing, elders held a “Blood-and-Bone” rite; he lifted fragments of his mother’s burnt bones to his lips to “breathe in her spirit,” a ritual he repeated whenever catastrophe loomed, turning him gloomy yet unyielding.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Kai-Koumou participated in a 'Blood-and-Bone' rite after a killing."", ""keywords"": [""Kai-Koumou"", ""Blood-and-Bone"", ""rite""]}, {""claim_id"": 2, ""claim_text"": ""Kai-Koumou lifted fragments of his mother’s burnt bones to his lips."", ""keywords"": [""Kai-Koumou"", ""mother"", ""burnt bones""]}, {""claim_id"": 3, ""claim_text"": ""Kai-Koumou repeated the ritual of breathing in his mother's spirit whenever catastrophe loomed."", ""keywords"": [""Kai-Koumou"", ""ritual"", ""catastrophe""]}, {""claim_id"": 4, ""claim_text"": ""The ritual turned Kai-Koumou gloomy yet unyielding."", ""keywords"": [""Kai-Koumou"", ""gloomy"", ""unyielding""]}]"
55,In Search of the Castaways,Thalcave,"His first double role: hired by a British Geographical Society expedition, he quietly altered the route to shield sacred Indian sites.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Thalcave was hired by a British Geographical Society expedition."", ""keywords"": [""Thalcave"", ""British Geographical Society"", ""expedition""]}, {""claim_id"": 2, ""claim_text"": ""Thalcave altered the route of the expedition."", ""keywords"": [""Thalcave"", ""altered route"", ""expedition""]}, {""claim_id"": 3, ""claim_text"": ""Thalcave altered the route to shield sacred Indian sites."", ""keywords"": [""Thalcave"", ""sacred Indian sites"", ""altered route""]}]"
12,In Search of the Castaways,Jacques Paganel,He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.”,contradict,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel declined to take part in charting the maiden voyage of the Britannia."", ""keywords"": [""Jacques Paganel"", ""Britannia"", ""maiden voyage""]}, {""claim_id"": 2, ""claim_text"": ""Jacques Paganel filled three diary pages with the sentence 'I could have prevented it.'"", ""keywords"": [""Jacques Paganel"", ""diary"", ""I could have prevented it""]}, {""claim_id"": 3, ""claim_text"": ""Jacques Paganel expressed regret after the news of the Britannia's wreck arrived."", ""keywords"": [""Jacques Paganel"", ""regret"", ""Britannia"", ""wreck""]}]"
13,In Search of the Castaways,Jacques Paganel,His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her.,consistent,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel has a complicated relationship with Lady Glenarvan."", ""keywords"": [""Jacques Paganel"", ""Lady Glenarvan"", ""relationship""]}, {""claim_id"": 2, ""claim_text"": ""Jacques Paganel once had tangled feelings for his mother."", ""keywords"": [""Jacques Paganel"", ""mother"", ""feelings""]}, {""claim_id"": 3, ""claim_text"": ""Jacques Paganel attempts to atone for failing to protect his mother by becoming the expedition's 'living map'."", ""keywords"": [""Jacques Paganel"", ""atonement"", ""living map""]}]"
102,The Count of Monte Cristo,Noirtier,"During the Revolution he acted as a militant republican, attended major assemblies and helped organise trials of royalists.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Noirtier acted as a militant republican during the Revolution."", ""keywords"": [""Noirtier"", ""militant republican"", ""Revolution""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier attended major assemblies during the Revolution."", ""keywords"": [""Noirtier"", ""major assemblies"", ""Revolution""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier helped organise trials of royalists."", ""keywords"": [""Noirtier"", ""organise trials"", ""royalists""]}]"
92,The Count of Monte Cristo,Noirtier,"**Father-son Rift**: Discovering that his elder son Gérard (Villefort) sought to wed into the old aristocracy, Noirtier publicly burned the Saint-Méran betrothal contract (1804), forcing Villefort to flee to Paris overnight.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Noirtier publicly burned the Saint-Méran betrothal contract in 1804."", ""keywords"": [""Noirtier"", ""Saint-Méran"", ""betrothal contract"", ""1804""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier is the father of Gérard Villefort."", ""keywords"": [""Noirtier"", ""Gérard Villefort"", ""father-son""]}, {""claim_id"": 3, ""claim_text"": ""Gérard Villefort fled to Paris overnight after the burning of the betrothal contract."", ""keywords"": [""Gérard Villefort"", ""fled"", ""Paris"", ""betrothal contract""]}]"
1,In Search of the Castaways,Jacques Paganel,"At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew himself, earning his father’s scolding for neglecting “serious” pursuits.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel fell in love with geography at twelve."", ""keywords"": [""Jacques Paganel"", ""geography"", ""twelve""]}, {""claim_id"": 2, ""claim_text"": ""He read Captain Cook’s nautical journal."", ""keywords"": [""Captain Cook"", ""nautical journal"", ""reading""]}, {""claim_id"": 3, ""claim_text"": ""He studied the stars with a homemade telescope."", ""keywords"": [""studied"", ""stars"", ""homemade telescope""]}, {""claim_id"": 4, ""claim_text"": ""He papered his bedroom walls with maps he drew himself."", ""keywords"": [""bedroom walls"", ""maps"", ""drawn""]}, {""claim_id"": 5, ""claim_text"": ""His father scolded him for neglecting serious pursuits."", ""keywords"": [""father"", ""scolding"", ""serious pursuits""]}]"
11,In Search of the Castaways,Jacques Paganel,One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger.,contradict,"[{""claim_id"": 1, ""claim_text"": ""Jacques Paganel saw first mate Ayrton secretly meet slave-traders."", ""keywords"": [""Jacques Paganel"", ""Ayrton"", ""slave-traders""]}, {""claim_id"": 2, ""claim_text"": ""Jacques Paganel was slashed across the left forearm with a dagger."", ""keywords"": [""Jacques Paganel"", ""slashed"", ""left forearm"", ""dagger""]}, {""claim_id"": 3, ""claim_text"": ""Jacques Paganel was shadowing the slave-traders when he was attacked."", ""keywords"": [""Jacques Paganel"", ""shadowing"", ""slave-traders"", ""attacked""]}]"
65,In Search of the Castaways,Thalcave,"British officers marvelled that he handled canoe, coast and jungle with equal ease, shuttling supplies and so preparing his later berth on the Dartmouth.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Thalcave handled canoe, coast and jungle with equal ease."", ""keywords"": [""Thalcave"", ""canoe"", ""coast"", ""jungle""]}, {""claim_id"": 2, ""claim_text"": ""Thalcave shuttled supplies."", ""keywords"": [""Thalcave"", ""shuttled"", ""supplies""]}, {""claim_id"": 3, ""claim_text"": ""Thalcave prepared for his later berth on the Dartmouth."", ""keywords"": [""Thalcave"", ""berth"", ""Dartmouth""]}]"
107,The Count of Monte Cristo,Noirtier,Napoleon’s triumph at Waterloo ended his hopes; in 1815 he withdrew from active plotting and turned to family affairs.,contradict,"[{""claim_id"": 1, ""claim_text"": ""Noirtier is a character in 'The Count of Monte Cristo'."", ""keywords"": [""Noirtier"", ""The Count of Monte Cristo""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier is related to the protagonist, Edmond Dantès."", ""keywords"": [""Noirtier"", ""Edmond Dantès"", ""relationship""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier is depicted as an elderly man who is paralyzed."", ""keywords"": [""Noirtier"", ""elderly"", ""paralyzed""]}]"
66,In Search of the Castaways,Thalcave,"Lord Glenarvan met him briefly at a London Royal Geographical Society dinner, was struck by his encyclopaedic knowledge of mountains and seas and hired him at once as guide for the South-American interior.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Thalcave was hired by Lord Glenarvan as a guide for the South-American interior."", ""keywords"": [""Thalcave"", ""Lord Glenarvan"", ""guide"", ""South-American interior""]}, {""claim_id"": 2, ""claim_text"": ""Lord Glenarvan met Thalcave at a London Royal Geographical Society dinner."", ""keywords"": [""Lord Glenarvan"", ""Thalcave"", ""London"", ""Royal Geographical Society"", ""dinner""]}, {""claim_id"": 3, ""claim_text"": ""Thalcave has encyclopaedic knowledge of mountains and seas."", ""keywords"": [""Thalcave"", ""encyclopaedic knowledge"", ""mountains"", ""seas""]}]"
89,The Count of Monte Cristo,Noirtier,"**Turning Point**: Arguing for procedural justice at Louis XVI’s trial (1793) he was driven from the inner circle, an experience that later anchored his insistence on legal formalism.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Noirtier argued for procedural justice at Louis XVI’s trial in 1793."", ""keywords"": [""Noirtier"", ""procedural justice"", ""Louis XVI"", ""trial"", ""1793""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier was driven from the inner circle as a result of his arguments during the trial."", ""keywords"": [""Noirtier"", ""driven from inner circle"", ""trial""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier's experience at the trial anchored his insistence on legal formalism."", ""keywords"": [""Noirtier"", ""legal formalism"", ""trial"", ""insistence""]}]"
34,In Search of the Castaways,Tom Ayrton/Ben Joyce,He found ship’s papers that mentioned an illicit Australian land deal by a British peer and planned to trade the information for a pardon.,consistent,"[{""claim_id"": 1, ""claim_text"": ""Tom Ayrton found ship's papers."", ""keywords"": [""Tom Ayrton"", ""ship's papers""]}, {""claim_id"": 2, ""claim_text"": ""The ship's papers mentioned an illicit Australian land deal."", ""keywords"": [""illicit"", ""Australian land deal""]}, {""claim_id"": 3, ""claim_text"": ""Tom Ayrton planned to trade the information for a pardon."", ""keywords"": [""trade"", ""information"", ""pardon""]}]"
99,The Count of Monte Cristo,Noirtier,"Born into a Parisian legal family, he absorbed his father’s staunch republicanism and his mother’s gentler sensibility, learning to balance reason with feeling.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Noirtier was born into a Parisian legal family."", ""keywords"": [""Noirtier"", ""Parisian"", ""legal family""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier absorbed his father’s staunch republicanism."", ""keywords"": [""Noirtier"", ""father"", ""republicanism""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier learned to balance reason with feeling."", ""keywords"": [""Noirtier"", ""balance"", ""reason"", ""feeling""]}, {""claim_id"": 4, ""claim_text"": ""Noirtier's mother had a gentler sensibility."", ""keywords"": [""Noirtier"", ""mother"", ""gentler sensibility""]}]"
123,The Count of Monte Cristo,Faria,"In Rome he and Noirtier de Villefort studied Napoleon’s secret letters together, then quarrelled over whether to publish their contents.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Faria studied Napoleon’s secret letters in Rome."", ""keywords"": [""Faria"", ""Napoleon"", ""secret letters"", ""Rome""]}, {""claim_id"": 2, ""claim_text"": ""Faria quarreled with Noirtier de Villefort over whether to publish the contents of Napoleon’s secret letters."", ""keywords"": [""Faria"", ""Noirtier de Villefort"", ""quarrel"", ""publish"", ""Napoleon"", ""secret letters""]}, {""claim_id"": 3, ""claim_text"": ""Faria and Noirtier de Villefort were involved in the study of Napoleon’s secret letters."", ""keywords"": [""Faria"", ""Noirtier de Villefort"", ""study"", ""Napoleon"", ""secret letters""]}]"
116,The Count of Monte Cristo,Faria,"In Lisbon he backed constitutionalist Prince Pedro, was branded a Jacobin plotter out to poison King John VI and fled conservatives’ pursuit.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Faria backed constitutionalist Prince Pedro in Lisbon."", ""keywords"": [""Faria"", ""Prince Pedro"", ""Lisbon""]}, {""claim_id"": 2, ""claim_text"": ""Faria was branded a Jacobin plotter."", ""keywords"": [""Faria"", ""Jacobin"", ""plotter""]}, {""claim_id"": 3, ""claim_text"": ""Faria fled conservatives’ pursuit."", ""keywords"": [""Faria"", ""fled"", ""conservatives""]}]"
43,In Search of the Castaways,Tom Ayrton/Ben Joyce,"Suspected of colluding with the enemy, he panicked, slipped away in a lifeboat under darkness and fled to the Southern Hemisphere.",contradict,"[{""claim_id"": 1, ""claim_text"": ""Tom Ayrton is suspected of colluding with the enemy."", ""keywords"": [""Tom Ayrton"", ""colluding"", ""enemy""]}, {""claim_id"": 2, ""claim_text"": ""Tom Ayrton panicked and slipped away in a lifeboat."", ""keywords"": [""Tom Ayrton"", ""panicked"", ""lifeboat""]}, {""claim_id"": 3, ""claim_text"": ""Tom Ayrton fled to the Southern Hemisphere."", ""keywords"": [""Tom Ayrton"", ""fled"", ""Southern Hemisphere""]}]"
108,The Count of Monte Cristo,Noirtier,"He married a gentle apolitical woman, hoping domestic peace would replace political strife, and pinned on his son Villefort the hope that the boy would carry his ideals forward.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Noirtier married a gentle apolitical woman."", ""keywords"": [""Noirtier"", ""marriage"", ""gentle"", ""apolitical""]}, {""claim_id"": 2, ""claim_text"": ""Noirtier hoped for domestic peace to replace political strife."", ""keywords"": [""Noirtier"", ""domestic peace"", ""political strife""]}, {""claim_id"": 3, ""claim_text"": ""Noirtier pinned his hopes on his son Villefort to carry his ideals forward."", ""keywords"": [""Noirtier"", ""Villefort"", ""hopes"", ""ideals""]}]"
128,The Count of Monte Cristo,Faria,"His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced.",consistent,"[{""claim_id"": 1, ""claim_text"": ""Faria developed an invisible-ink formula."", ""keywords"": [""Faria"", ""invisible-ink"", ""formula""]}, {""claim_id"": 2, ""claim_text"": ""Faria's invisible-ink formula originated from temple-mural restoration in India."", ""keywords"": [""Faria"", ""temple-mural"", ""restoration"", ""India""]}, {""claim_id"": 3, ""claim_text"": ""Faria first used his invisible-ink formula to rescue local epics that colonists had defaced."", ""keywords"": [""Faria"", ""invisible-ink"", ""rescue"", ""local epics"", ""colonists"", ""defaced""]}]"
29,In Search of the Castaways,Tom Ayrton/Ben Joyce,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand.,consistent,"[{""claim_id"": 1, ""claim_text"": ""Tom Ayrton was pressed a dagger engraved with his family crest."", ""keywords"": [""Tom Ayrton"", ""dagger"", ""family crest""]}, {""claim_id"": 2, ""claim_text"": ""The mate was hanged the night before he pressed the dagger into the boy's hand."", ""keywords"": [""mate"", ""hanged"", ""dagger""]}, {""claim_id"": 3, ""claim_text"": ""The boy received the dagger from the mate."", ""keywords"": [""boy"", ""dagger"", ""mate""]}]"
